Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
53,No,Non-Travel,1443,Research & Development,5,5,Technical Degree,4,Male,72,2,5,Manufacturing Director,1,Married,9887,21035,8,No,23,3,1,2,1,0,1,35,0,4,5
33,No,Travel_Rarely,818,Research & Development,25,5,Life Sciences,4,Female,99,4,2,Healthcare Representative,4,Married,13524,11082,6,No,15,3,4,0,14,3,1,16,12,0,0
54,No,Travel_Rarely,1356,Research & Development,27,1,Life Sciences,2,Female,93,1,3,Research Director,2,Married,1235,17000,6,No,15,3,1,0,33,5,2,31,13,1,3
48,No,Non-Travel,1023,Sales,21,1,Other,4,Female,55,4,3,Research Scientist,2,Single,9890,16256,0,No,11,3,2,1,2,5,2,14,7,2,16
48,Yes,Travel_Rarely,723,Sales,3,5,Life Sciences,4,Male,41,1,5,Manager,1,Single,8787,18518,7,Yes,23,3,1,1,9,1,1,0,9,9,6
38,No,Travel_Rarely,290,Research & Development,18,5,Marketing,2,Female,73,3,1,Research Director,1,Married,12152,8468,8,No,19,4,3,3,31,1,3,11,7,4,1
54,No,Travel_Rarely,1398,Research & Development,14,4,Medical,3,Female,74,1,4,Sales Representative,2,Single,14150,5652,2,No,23,3,3,1,32,1,2,9,11,7,12
36,No,Travel_Rarely,360,Sales,1,2,Marketing,4,Female,38,2,2,Sales Executive,2,Married,18270,6573,2,No,20,3,4,0,34,4,3,37,4,6,3
21,No,Travel_Rarely,716,Research & Development,13,5,Medical,2,Female,70,4,4,Sales Executive,2,Married,8876,13146,0,Yes,16,3,2,3,5,2,1,19,15,2,11
58,No,Travel_Frequently,1158,Research & Development,1,5,Medical,3,Female,66,1,5,Human Resources,4,Single,7348,23917,4,Yes,21,3,2,0,4,5,3,25,16,4,4
46,No,Travel_Rarely,322,Sales,4,3,Other,2,Female,99,4,2,Healthcare Representative,3,Divorced,6893,18834,6,No,15,3,1,1,6,0,3,34,16,14,15
44,No,Travel_Rarely,1154,Research & Development,10,5,Life Sciences,3,Male,55,2,3,Human Resources,2,Single,8700,19316,4,No,24,4,1,1,24,6,4,21,0,14,11
55,Yes,Non-Travel,919,Research & Development,27,5,Life Sciences,1,Male,67,1,2,Laboratory Technician,1,Single,11502,10791,7,No,19,3,2,0,31,1,3,28,7,9,8
23,No,Non-Travel,911,Sales,24,2,Medical,2,Male,74,2,5,Manufacturing Director,3,Married,18399,11891,3,Yes,25,3,2,0,15,3,2,29,7,3,2
53,No,Travel_Rarely,513,Human Resources,2,1,Marketing,2,Male,51,2,3,Research Director,1,Single,14629,17736,0,No,20,3,4,2,8,0,2,19,7,14,9
24,No,Travel_Frequently,281,Research & Development,8,5,Life Sciences,4,Female,46,4,5,Sales Executive,2,Single,6699,16906,3,Yes,14,3,1,0,22,5,4,31,10,4,14
53,No,Travel_Frequently,1005,Research & Development,8,4,Medical,3,Male,51,3,5,Manufacturing Director,4,Married,10911,4841,8,No,12,3,4,3,30,6,4,32,6,9,10
49,Yes,Non-Travel,1133,Sales,23,5,Other,1,Female,48,4,2,Sales Executive,2,Single,18334,7181,5,No,12,4,4,3,4,5,4,24,4,12,8
19,No,Travel_Rarely,975,Research & Development,21,1,Other,2,Female,34,1,1,Manufacturing Director,3,Married,11462,26739,2,No,25,3,4,1,9,5,3,26,9,7,16
48,No,Non-Travel,536,Research & Development,11,1,Marketing,4,Female,52,2,4,Healthcare Representative,2,Single,2423,8624,8,No,25,3,4,1,22,0,2,9,1,2,8
46,No,Travel_Rarely,1355,Research & Development,26,2,Life Sciences,3,Female,33,1,1,Research Scientist,4,Married,18661,26860,7,No,23,3,2,3,11,0,1,14,1,6,15
19,No,Non-Travel,936,Research & Development,16,4,Other,2,Female,76,1,5,Human Resources,2,Single,8179,10096,3,Yes,11,3,1,3,20,0,1,11,7,11,7
46,No,Travel_Rarely,952,Research & Development,6,4,Technical Degree,3,Male,85,2,5,Research Director,1,Married,8831,14219,5,Yes,25,4,4,1,9,4,4,29,2,4,2
43,No,Non-Travel,1343,Sales,22,4,Technical Degree,3,Female,45,3,2,Manufacturing Director,1,Single,6712,26156,9,No,15,3,3,3,38,0,4,9,11,2,3
36,Yes,Non-Travel,412,Sales,7,2,Medical,3,Male,65,3,3,Human Resources,1,Married,17477,6688,2,No,18,3,2,0,18,6,1,14,8,3,9
37,No,Travel_Rarely,1212,Research & Development,10,1,Marketing,3,Female,90,1,4,Laboratory Technician,4,Married,11119,22988,5,No,17,3,2,3,15,1,1,16,13,4,4
50,No,Travel_Rarely,1435,Research & Development,18,2,Other,4,Male,32,2,3,Human Resources,2,Married,6814,2672,0,No,12,3,4,0,18,6,1,23,11,1,6
28,No,Travel_Rarely,921,Sales,3,1,Technical Degree,4,Male,82,4,1,Manager,1,Single,15878,3108,5,No,25,3,4,0,18,0,4,9,17,4,9
40,No,Travel_Frequently,1335,Sales,17,2,Other,1,Male,81,2,5,Manufacturing Director,3,Married,7342,26174,4,No,18,4,4,0,21,0,1,16,7,4,6
20,No,Travel_Frequently,446,Sales,9,1,Other,4,Female,42,4,2,Research Director,4,Married,17921,14594,2,No,25,3,2,1,15,6,4,0,0,6,1
56,No,Travel_Rarely,844,Research & Development,22,3,Marketing,1,Male,87,3,5,Laboratory Technician,4,Married,10273,24521,7,No,13,3,2,0,6,2,4,1,1,14,10
49,No,Travel_Rarely,1353,Research & Development,6,1,Technical Degree,4,Male,38,4,5,Sales Representative,1,Divorced,5383,3219,7,No,23,4,3,3,8,2,2,9,6,0,13
40,No,Travel_Rarely,315,Sales,17,3,Technical Degree,4,Male,43,2,3,Research Scientist,2,Married,6722,22527,2,No,25,4,4,3,35,5,3,17,10,11,8
19,No,Travel_Rarely,669,Research & Development,18,3,Medical,1,Male,31,2,4,Sales Representative,3,Divorced,1181,25496,2,No,14,3,2,1,4,5,4,23,12,12,15
59,Yes,Travel_Frequently,1482,Research & Development,18,4,Other,2,Female,53,1,5,Research Director,2,Married,4085,2169,8,Yes,23,3,3,1,16,1,1,39,13,12,15
46,No,Travel_Rarely,856,Research & Development,18,2,Marketing,2,Male,70,1,1,Manager,1,Single,18869,23071,5,No,15,3,2,1,8,3,2,12,6,13,4
33,No,Travel_Frequently,1221,Research & Development,27,5,Other,1,Female,74,4,2,Laboratory Technician,3,Divorced,12832,20025,3,No,11,3,1,1,36,5,4,33,0,0,14
49,No,Travel_Rarely,1436,Sales,9,1,Technical Degree,2,Female,40,3,3,Manufacturing Director,4,Married,12350,2132,8,No,22,3,2,1,1,4,2,3,17,9,5
39,No,Travel_Rarely,434,Research & Development,3,4,Other,2,Male,96,2,2,Manufacturing Director,2,Married,18250,24618,1,No,23,3,1,1,13,1,3,28,7,0,11
52,No,Travel_Frequently,680,Sales,8,5,Life Sciences,4,Male,96,3,5,Manager,4,Married,16968,7649,8,No,21,3,3,2,33,4,1,0,11,5,14
33,No,Travel_Rarely,258,Research & Development,4,3,Marketing,2,Female,65,1,2,Healthcare Representative,3,Single,16270,24810,9,Yes,17,4,1,0,15,0,2,38,12,5,15
29,No,Travel_Rarely,1252,Research & Development,14,5,Marketing,4,Male,60,4,2,Research Scientist,4,Married,5401,15296,6,No,11,3,1,0,32,4,1,32,1,13,10
49,No,Non-Travel,989,Research & Development,6,1,Medical,4,Male,81,3,1,Laboratory Technician,4,Single,3709,14625,3,No,12,4,4,2,0,6,4,30,14,9,12
51,No,Travel_Rarely,899,Research & Development,1,3,Life Sciences,1,Male,71,3,5,Healthcare Representative,2,Married,4912,2199,5,No,19,3,3,1,35,4,4,7,9,5,12
32,No,Travel_Frequently,882,Sales,6,5,Marketing,3,Male,30,4,4,Human Resources,3,Single,1280,16049,1,Yes,17,4,3,3,34,6,2,26,11,12,15
32,No,Non-Travel,1234,Research & Development,14,3,Technical Degree,1,Male,63,2,4,Sales Executive,4,Divorced,17270,21290,1,No,18,3,1,1,5,4,1,33,9,12,2
46,No,Travel_Frequently,580,Research & Development,7,2,Technical Degree,4,Female,76,3,2,Manager,3,Married,1075,13604,7,No,17,3,1,1,21,1,3,9,1,7,6
26,No,Non-Travel,238,Research & Development,27,2,Other,4,Female,38,1,4,Research Director,4,Married,3187,15071,0,No,19,3,4,2,21,4,2,17,13,5,14
57,No,Travel_Rarely,648,Research & Development,13,3,Technical Degree,4,Female,51,3,5,Research Scientist,3,Single,5845,13637,7,No,16,3,2,2,33,6,1,8,17,7,12
24,No,Non-Travel,645,Research & Development,7,3,Marketing,3,Male,52,3,2,Sales Representative,3,Married,13402,26219,1,Yes,14,4,2,2,28,5,3,39,10,9,4
19,No,Travel_Rarely,1295,Human Resources,20,2,Life Sciences,4,Male,52,2,3,Laboratory Technician,3,Divorced,7498,8703,5,No,17,3,1,2,2,0,2,12,16,2,9
18,No,Travel_Rarely,1369,Sales,22,2,Life Sciences,4,Male,71,1,5,Manager,4,Divorced,17512,23884,6,Yes,15,3,2,3,25,4,3,39,1,13,12
34,Yes,Travel_Rarely,1274,Research & Development,3,3,Medical,1,Male,83,2,2,Manufacturing Director,3,Divorced,8194,9277,5,No,15,3,1,1,34,2,4,5,14,14,4
45,Yes,Travel_Rarely,901,Research & Development,17,5,Life Sciences,3,Male,54,3,2,Sales Representative,1,Married,15354,7414,0,No,21,3,3,1,38,3,1,26,13,8,11
49,No,Non-Travel,1234,Research & Development,5,5,Other,2,Female,80,3,5,Sales Executive,2,Married,10397,6054,5,No,19,3,2,0,37,5,1,25,4,5,1
24,No,Travel_Rarely,798,Research & Development,22,2,Marketing,4,Male,64,2,5,Research Scientist,4,Married,9494,25095,2,No,14,4,2,2,20,0,1,22,6,13,10
36,No,Non-Travel,526,Research & Development,3,3,Technical Degree,4,Female,44,1,1,Sales Executive,2,Married,12861,23224,7,Yes,11,3,2,3,12,4,1,13,0,8,15
34,No,Travel_Frequently,801,Research & Development,28,4,Technical Degree,2,Male,54,4,5,Manufacturing Director,1,Divorced,7761,12321,0,No,17,3,1,3,12,6,1,28,5,8,0
37,No,Travel_Frequently,1345,Research & Development,1,5,Other,1,Male,80,2,4,Laboratory Technician,1,Single,1371,22627,0,No,25,3,3,0,27,3,1,13,11,0,13
37,No,Travel_Rarely,565,Research & Development,17,2,Marketing,1,Female,93,1,5,Sales Executive,2,Single,7315,19407,4,No,19,3,4,1,25,3,4,0,13,13,6
26,No,Travel_Rarely,412,Human Resources,15,5,Technical Degree,4,Male,99,1,4,Research Scientist,2,Married,6384,22462,7,No,17,3,1,3,12,1,1,30,4,11,16
41,No,Non-Travel,441,Research & Development,7,1,Marketing,3,Male,92,3,2,Manager,4,Married,2538,18938,3,No,17,3,4,3,13,4,4,15,11,14,16
22,No,Travel_Frequently,1224,Sales,9,1,Marketing,4,Female,89,1,1,Manufacturing Director,1,Single,9554,8731,7,Yes,12,3,3,2,12,3,3,7,0,9,6
23,No,Travel_Rarely,1298,Research & Development,17,1,Technical Degree,4,Male,58,4,1,Sales Executive,4,Divorced,14109,20013,0,No,15,3,1,1,39,3,4,36,1,4,5
52,Yes,Travel_Rarely,263,Research & Development,17,1,Life Sciences,1,Male,88,1,4,Healthcare Representative,3,Married,7376,13201,1,No,23,3,4,2,9,4,2,20,0,7,0
52,No,Travel_Rarely,680,Research & Development,25,4,Medical,1,Male,63,4,3,Manager,3,Single,5230,6445,9,Yes,13,3,2,1,32,4,4,35,0,4,11
28,Yes,Travel_Rarely,835,Sales,2,3,Medical,2,Female,86,2,4,Research Director,3,Married,15294,10350,3,Yes,15,3,4,0,22,1,3,4,3,7,2
43,Yes,Travel_Rarely,553,Sales,11,3,Medical,1,Male,55,4,5,Research Director,1,Single,14959,4651,0,No,22,3,4,3,2,0,4,25,4,12,12
21,No,Travel_Rarely,1303,Research & Development,26,3,Other,4,Female,70,3,4,Sales Representative,1,Single,18673,24913,1,No,23,4,1,0,3,6,2,13,12,11,1
41,Yes,Non-Travel,1151,Sales,12,3,Marketing,3,Male,68,3,2,Research Director,1,Divorced,1663,10225,0,No,21,3,4,2,36,3,1,8,3,9,13
51,No,Non-Travel,1054,Research & Development,23,5,Technical Degree,4,Female,89,4,5,Sales Executive,1,Married,11151,15515,1,No,13,3,1,3,10,3,4,29,0,10,9
37,No,Travel_Rarely,1056,Research & Development,14,4,Medical,3,Male,96,4,3,Manager,1,Single,12194,15758,5,Yes,12,3,3,2,39,5,3,22,2,8,5
46,No,Travel_Rarely,485,Research & Development,2,5,Life Sciences,1,Male,83,3,2,Human Resources,3,Married,13073,8669,1,Yes,11,3,3,1,32,2,1,14,7,0,16
54,No,Travel_Rarely,163,Research & Development,9,3,Other,4,Male,63,4,5,Research Director,3,Married,10649,2174,5,No,16,3,4,0,29,2,2,9,12,9,11
45,No,Travel_Frequently,464,Sales,17,4,Life Sciences,2,Male,82,4,5,Sales Representative,4,Married,10102,12040,5,No,13,3,4,2,7,0,3,19,9,1,15
26,No,Travel_Rarely,388,Research & Development,8,1,Technical Degree,3,Female,96,3,4,Research Director,1,Divorced,8073,22154,1,Yes,19,3,1,1,20,6,4,1,9,5,2
31,No,Travel_Rarely,977,Research & Development,19,1,Medical,1,Male,95,3,3,Human Resources,4,Married,19905,13303,5,No,12,3,2,2,28,5,2,20,7,13,13
45,Yes,Non-Travel,1462,Sales,14,4,Other,4,Male,68,3,1,Healthcare Representative,3,Single,9908,15144,1,No,11,3,1,1,18,2,2,6,0,0,0
56,No,Travel_Rarely,411,Research & Development,19,4,Technical Degree,2,Female,96,2,2,Human Resources,1,Married,13792,12690,8,Yes,23,3,4,2,16,2,3,1,15,12,9
29,No,Travel_Rarely,333,Research & Development,3,1,Technical Degree,3,Male,46,3,5,Research Director,4,Married,9357,22251,4,No,25,3,3,2,35,3,2,13,0,1,8
46,No,Travel_Frequently,320,Sales,20,2,Technical Degree,3,Male,30,3,4,Sales Representative,2,Married,12410,4753,2,Yes,14,4,3,0,7,6,3,32,6,11,10
51,No,Travel_Rarely,1058,Research & Development,20,2,Other,3,Male,86,3,3,Healthcare Representative,4,Single,16726,7791,8,No,23,4,4,1,4,4,1,39,17,13,14
40,No,Travel_Frequently,1272,Research & Development,11,3,Life Sciences,4,Female,56,1,5,Laboratory Technician,1,Married,12039,24621,7,No,25,3,4,0,27,3,4,2,6,14,7
31,No,Travel_Frequently,1199,Research & Development,26,2,Life Sciences,1,Female,72,4,3,Sales Representative,4,Divorced,18960,19172,4,Yes,14,3,3,2,31,2,2,24,1,0,14
30,Yes,Travel_Frequently,235,Research & Development,27,1,Medical,2,Male,55,2,3,Manufacturing Director,4,Single,5436,5869,6,No,20,3,2,3,9,3,2,2,8,5,7
21,No,Travel_Rarely,130,Research & Development,1,3,Technical Degree,4,Female,96,2,2,Manufacturing Director,4,Divorced,18636,18603,2,No,12,3,2,1,11,6,3,36,0,5,16
32,No,Travel_Rarely,998,Sales,18,4,Medical,1,Male,32,3,2,Sales Representative,2,Married,17862,21570,2,No,21,3,4,2,35,1,3,22,6,14,16
36,No,Non-Travel,1072,Research & Development,25,4,Marketing,4,Male,51,1,2,Manager,2,Single,6096,16299,6,No,13,4,1,0,9,5,4,30,6,7,0
38,No,Non-Travel,1236,Sales,2,3,Life Sciences,2,Male,98,4,1,Laboratory Technician,4,Single,18100,9828,6,No,25,3,4,0,15,3,2,18,17,0,8
31,No,Travel_Rarely,159,Research & Development,10,3,Medical,1,Male,65,4,3,Sales Executive,4,Married,15667,3949,0,No,19,3,1,1,9,3,4,14,10,1,16
47,No,Non-Travel,1224,Research & Development,26,2,Technical Degree,1,Male,60,2,4,Research Scientist,3,Married,7288,21052,1,No,24,3,4,0,36,4,2,13,3,7,14
53,No,Travel_Frequently,1045,Research & Development,15,2,Medical,2,Male,31,2,2,Manufacturing Director,3,Married,1849,24692,2,No,13,3,4,1,27,5,1,37,0,10,0
25,No,Non-Travel,684,Research & Development,21,3,Marketing,3,Female,44,3,2,Laboratory Technician,3,Single,18498,22528,1,No,12,3,3,0,21,6,4,13,11,3,0
37,No,Non-Travel,1010,Research & Development,28,3,Technical Degree,3,Female,99,4,3,Laboratory Technician,1,Single,5886,15986,8,No,25,4,4,2,22,0,4,28,4,3,6
33,No,Non-Travel,623,Sales,15,3,Other,2,Female,92,4,1,Manager,4,Divorced,16991,14203,2,Yes,11,3,2,0,16,6,3,1,5,4,0
33,No,Travel_Rarely,181,Sales,16,3,Medical,2,Male,71,4,1,Sales Representative,4,Single,18054,19968,5,No,20,4,2,3,7,3,1,35,15,5,4
21,No,Travel_Frequently,1475,Research & Development,27,1,Other,2,Female,55,2,3,Sales Executive,4,Divorced,17755,5412,0,No,21,3,3,0,37,1,3,37,10,3,1
31,No,Travel_Frequently,1160,Research & Development,19,3,Technical Degree,4,Male,59,3,4,Research Scientist,2,Married,11117,19584,9,No,20,3,4,1,2,4,4,18,10,2,10
44,No,Travel_Rarely,1137,Sales,4,2,Life Sciences,2,Female,46,3,3,Research Scientist,3,Single,5837,16905,6,No,11,3,3,0,18,5,1,27,9,3,1
38,No,Non-Travel,582,Sales,1,1,Other,4,Male,71,1,3,Sales Representative,4,Married,5912,2825,6,No,13,3,4,2,10,2,3,25,3,8,16
51,No,Travel_Rarely,129,Sales,11,3,Technical Degree,1,Male,80,1,5,Manufacturing Director,1,Divorced,9068,20166,6,No,16,4,4,0,24,6,2,34,17,9,14
36,No,Travel_Frequently,1409,Sales,5,1,Other,3,Male,32,4,2,Manager,2,Divorced,6119,25222,0,Yes,21,4,1,2,4,3,1,2,0,12,16
55,No,Non-Travel,878,Research & Development,23,5,Technical Degree,2,Male,59,1,1,Manufacturing Director,3,Married,1601,20799,1,Yes,25,3,2,3,34,4,1,28,9,0,3
43,Yes,Travel_Rarely,262,Research & Development,26,1,Marketing,4,Female,67,2,5,Manager,1,Married,7151,23176,4,No,22,3,4,1,0,3,3,11,7,10,15
44,Yes,Travel_Rarely,1363,Research & Development,26,1,Technical Degree,2,Female,46,3,4,Sales Executive,3,Married,12563,11236,7,No,12,3,1,0,13,4,2,19,17,1,9
50,No,Travel_Rarely,1297,Sales,22,3,Medical,2,Male,63,4,1,Manufacturing Director,1,Married,15155,18688,5,No,18,3,1,2,13,4,3,11,6,6,9
27,No,Travel_Rarely,110,Sales,9,4,Other,1,Male,45,4,4,Sales Representative,1,Married,4280,13266,7,No,19,3,1,0,32,2,1,9,9,7,2
20,No,Travel_Rarely,1451,Sales,21,3,Technical Degree,2,Female,85,2,5,Research Scientist,3,Married,11248,17430,8,Yes,15,3,3,3,11,5,4,35,0,5,4
40,No,Travel_Frequently,596,Research & Development,25,2,Technical Degree,2,Female,53,3,4,Manager,4,Single,6770,16824,7,No,22,3,1,0,18,6,3,28,12,3,7
19,No,Non-Travel,1366,Research & Development,15,4,Technical Degree,4,Female,78,4,1,Research Scientist,2,Married,12296,4730,7,Yes,23,3,1,3,25,4,1,20,15,14,3
39,No,Travel_Rarely,1035,Research & Development,3,2,Life Sciences,3,Female,49,3,2,Research Scientist,3,Single,2919,7426,9,No,18,3,4,3,25,5,1,9,12,14,8
36,No,Travel_Rarely,352,Research & Development,17,4,Life Sciences,2,Male,56,1,1,Research Scientist,2,Divorced,1997,15403,6,No,16,3,2,2,16,0,3,39,10,13,1
45,No,Travel_Rarely,1121,Research & Development,26,4,Marketing,4,Female,58,4,4,Manager,2,Married,2753,24276,4,No,25,3,3,2,3,6,3,29,4,13,0
30,No,Travel_Rarely,1100,Human Resources,2,1,Technical Degree,3,Male,49,3,4,Human Resources,3,Divorced,13394,3465,0,No,20,3,1,0,9,0,3,36,3,4,9
18,No,Travel_Rarely,279,Research & Development,9,3,Life Sciences,4,Male,65,4,2,Research Director,4,Divorced,13349,2866,3,No,15,3,4,3,3,6,4,14,15,13,14
18,Yes,Travel_Frequently,339,Research & Development,24,3,Life Sciences,2,Male,37,2,2,Sales Representative,1,Married,12177,26690,0,No,19,3,3,0,38,4,2,6,11,7,1
37,No,Travel_Rarely,1271,Sales,5,3,Medical,2,Male,97,1,3,Manager,4,Divorced,10310,12007,8,Yes,18,3,2,2,23,2,2,10,1,10,7
51,No,Non-Travel,1133,Human Resources,20,4,Other,1,Male,70,4,2,Research Scientist,1,Married,6715,7395,0,Yes,21,3,2,2,23,6,3,37,13,11,2
41,No,Travel_Frequently,1414,Sales,25,2,Life Sciences,3,Female,32,2,2,Laboratory Technician,2,Single,7236,22575,4,Yes,14,3,1,0,18,6,3,26,10,2,4
33,No,Non-Travel,1457,Research & Development,28,5,Technical Degree,1,Male,86,1,3,Sales Executive,2,Married,11436,23645,3,No,24,3,3,3,12,1,3,36,15,2,0
41,No,Non-Travel,1365,Sales,11,4,Other,4,Female,80,3,5,Sales Executive,1,Divorced,17352,7978,1,No,21,3,4,1,17,6,1,25,4,2,10
51,No,Travel_Frequently,163,Sales,21,2,Medical,1,Female,38,2,1,Sales Executive,4,Married,18811,13034,9,No,14,3,3,3,18,4,3,5,7,7,6
50,No,Non-Travel,491,Research & Development,1,5,Technical Degree,2,Female,58,1,2,Laboratory Technician,4,Divorced,13527,6737,0,Yes,23,3,3,1,3,2,2,37,1,3,11
35,No,Travel_Rarely,1485,Sales,5,2,Life Sciences,2,Male,93,2,4,Healthcare Representative,3,Single,7963,25761,9,No,25,3,4,2,6,4,4,11,10,11,11
29,Yes,Non-Travel,556,Research & Development,4,3,Medical,4,Female,63,2,1,Research Director,4,Divorced,14183,24380,4,Yes,16,3,4,2,0,3,1,5,2,13,15
38,No,Travel_Rarely,687,Research & Development,11,5,Other,1,Male,77,2,5,Healthcare Representative,3,Married,15259,15649,9,No,13,3,3,3,21,6,4,3,17,11,12
23,No,Non-Travel,902,Human Resources,4,3,Medical,3,Female,86,2,5,Healthcare Representative,1,Single,12548,6841,1,No,19,4,1,3,3,2,3,39,4,1,16
23,No,Travel_Rarely,1194,Sales,25,1,Other,3,Male,94,2,3,Research Scientist,2,Divorced,18536,26294,9,No,13,4,1,0,13,0,2,13,2,12,3
24,No,Non-Travel,766,Research & Development,22,5,Technical Degree,1,Female,57,4,3,Manufacturing Director,4,Divorced,17225,18042,8,No,21,3,4,2,8,2,3,8,15,13,5
40,Yes,Travel_Rarely,1224,Research & Development,7,5,Marketing,2,Male,96,3,3,Sales Executive,3,Single,4572,10968,0,Yes,18,3,3,0,11,3,1,27,0,5,11
35,No,Travel_Rarely,117,Sales,24,1,Marketing,4,Female,44,4,2,Research Scientist,1,Single,18922,9121,3,No,21,3,3,3,12,4,3,15,1,7,8
49,Yes,Travel_Rarely,400,Sales,24,2,Other,3,Female,88,2,5,Laboratory Technician,3,Single,12851,20588,3,No,15,3,2,0,30,5,1,0,12,11,12
45,No,Non-Travel,1412,Human Resources,15,5,Technical Degree,2,Female,71,4,3,Sales Representative,4,Married,6901,2786,7,No,19,3,2,2,19,1,4,14,3,10,1
22,No,Travel_Rarely,1270,Human Resources,23,1,Other,1,Male,90,3,1,Sales Representative,2,Married,16119,3537,4,No,11,4,1,0,31,2,3,25,2,3,3
55,No,Non-Travel,341,Research & Development,27,1,Technical Degree,4,Male,36,3,2,Manager,2,Married,2429,18440,6,No,12,3,3,0,39,5,2,22,17,7,11
32,No,Travel_Frequently,1331,Research & Development,11,3,Medical,2,Female,94,4,4,Laboratory Technician,2,Divorced,3589,16918,2,No,17,3,3,0,14,5,2,37,12,2,11
54,No,Travel_Frequently,1151,Sales,5,1,Marketing,4,Female,69,4,5,Sales Representative,3,Divorced,16554,13032,1,Yes,11,3,2,3,9,4,1,36,3,3,12
39,No,Travel_Frequently,257,Sales,8,5,Technical Degree,3,Female,30,3,2,Healthcare Representative,4,Married,14024,21357,1,No,16,3,1,0,2,0,4,33,4,13,0
22,No,Non-Travel,896,Sales,10,3,Marketing,3,Male,77,1,5,Sales Representative,4,Married,17959,25543,8,No,12,4,2,2,28,4,2,22,6,6,7
40,No,Travel_Frequently,1250,Sales,10,3,Marketing,4,Male,85,1,4,Manager,4,Married,3973,11825,9,No,19,3,2,3,4,2,1,2,13,5,3
26,Yes,Travel_Rarely,560,Research & Development,2,2,Technical Degree,1,Male,80,2,1,Laboratory Technician,2,Married,2516,7751,9,Yes,24,3,2,3,16,1,1,34,5,2,15
35,No,Travel_Rarely,681,Research & Development,2,1,Other,3,Female,72,2,1,Human Resources,3,Married,6465,5893,8,No,23,3,1,2,21,4,2,11,14,2,4
21,No,Travel_Rarely,1433,Research & Development,10,5,Other,1,Female,56,2,5,Healthcare Representative,4,Single,18404,7885,5,Yes,23,4,4,3,13,3,2,13,1,2,15
49,No,Travel_Frequently,1142,Research & Development,19,1,Life Sciences,3,Female,95,3,5,Laboratory Technician,3,Divorced,19469,11363,6,No,16,3,3,2,33,2,4,26,7,9,16
47,No,Travel_Rarely,551,Research & Development,11,2,Medical,3,Female,66,4,2,Human Resources,2,Divorced,1833,3749,2,Yes,16,3,3,3,26,5,4,22,16,2,6
51,No,Travel_Rarely,213,Sales,25,5,Marketing,2,Female,75,1,3,Manufacturing Director,2,Married,13269,26674,9,Yes,12,3,4,2,4,1,1,11,9,7,7
32,No,Non-Travel,1179,Research & Development,24,1,Technical Degree,2,Male,96,1,5,Manager,4,Married,14925,3181,3,Yes,18,3,4,3,13,0,3,34,2,10,11
20,No,Non-Travel,1104,Research & Development,7,4,Life Sciences,2,Male,44,1,5,Research Director,4,Single,8737,12252,3,No,11,4,4,1,30,4,1,3,10,2,16
30,No,Travel_Rarely,619,Research & Development,22,1,Medical,1,Female,92,2,1,Sales Representative,4,Married,9007,14350,9,No,17,3,4,0,1,0,4,34,1,3,4
43,No,Non-Travel,1157,Sales,3,3,Other,2,Female,54,4,4,Manufacturing Director,1,Single,3566,9618,3,No,12,3,2,3,34,0,1,19,14,13,14
27,No,Travel_Rarely,106,Sales,19,3,Other,2,Male,98,1,3,Research Scientist,3,Married,19446,14806,1,No,17,3,3,3,19,2,1,36,16,11,5
35,Yes,Travel_Rarely,1350,Research & Development,21,4,Marketing,3,Male,36,2,1,Manager,4,Married,2216,18577,5,Yes,16,4,4,0,39,4,1,24,7,12,13
58,No,Travel_Rarely,1132,Research & Development,9,5,Medical,1,Male,99,2,5,Research Scientist,2,Married,13696,4230,0,No,21,3,4,2,15,3,1,30,17,6,6
25,No,Travel_Frequently,854,Research & Development,21,2,Medical,1,Male,40,1,1,Laboratory Technician,1,Single,19752,6410,6,No,20,3,1,2,9,2,2,39,14,14,15
56,Yes,Travel_Rarely,1309,Research & Development,22,1,Marketing,2,Male,98,1,5,Sales Representative,3,Married,4311,4602,1,Yes,17,3,4,1,9,6,4,0,15,13,16
49,No,Travel_Frequently,272,Research & Development,9,3,Life Sciences,4,Male,81,3,5,Research Scientist,2,Married,4819,26372,3,Yes,21,3,4,0,18,2,3,31,16,10,11
27,No,Non-Travel,809,Research & Development,28,5,Technical Degree,3,Male,85,4,3,Laboratory Technician,4,Divorced,9837,26783,9,Yes,25,3,1,3,12,3,1,4,16,14,13
56,No,Travel_Rarely,679,Research & Development,14,1,Technical Degree,4,Male,81,3,1,Healthcare Representative,2,Married,16953,3818,3,No,17,3,1,2,38,6,1,39,1,5,7
40,No,Travel_Rarely,463,Research & Development,9,4,Other,2,Female,92,4,1,Human Resources,1,Married,1836,18110,4,No,13,3,1,0,23,5,2,36,8,9,4
44,No,Non-Travel,1216,Human Resources,26,3,Other,3,Male,80,1,4,Human Resources,3,Single,18181,11348,7,No,19,3,1,2,4,4,2,27,7,7,16
